,공항,년월,45kg,100kg,300kg,500kg,1톤,지역,국가명
0,Los_Angeles(LAX),2022-03,22.00,22.00,21.00,21.00,21.00,미주,미국
1,Los_Angeles(LAX),2022-02,20.00,20.00,19.00,19.00,19.00,미주,미국
2,Los_Angeles(LAX),2022-01,20.00,20.00,19.00,19.00,19.00,미주,미국
3,Los_Angeles(LAX),2021-12,22.000,22.000,21.000,21.000,21.000,미주,미국
4,Los_Angeles(LAX),2021-11,20.000,20.000,19.000,19.000,19.000,미주,미국
5,Los_Angeles(LAX),2021-10,20.000,20.000,19.000,19.000,19.000,미주,미국
6,Los_Angeles(LAX),2021-09,12.000,10.000,9.500,9.500,9.500,미주,미국
7,Los_Angeles(LAX),2021-08,12.000,10.000,9.500,9.500,9.500,미주,미국
8,Los_Angeles(LAX),2021-07,12.000,10.000,9.500,9.500,9.500,미주,미국
9,Los_Angeles(LAX),2021-06,12.00,10.00,9.50,9.50,9.50,미주,미국
10,Los_Angeles(LAX),2021-05,12.00,10.00,9.50,9.50,9.50,미주,미국
11,Los_Angeles(LAX),2021-04,12.00,10.00,9.50,9.50,9.50,미주,미국
12,Los_Angeles(LAX),2021-03,12.00,10.00,9.50,9.50,9.50,미주,미국
13,Los_Angeles(LAX),2021-02,12.00,10.00,9.50,9.50,9.50,미주,미국
14,Los_Angeles(LAX),2021-01,12.00,10.00,9.50,9.50,9.50,미주,미국
15,Los_Angeles(LAX),2020-12,12.00,10.00,9.50,9.50,9.50,미주,미국
16,Los_Angeles(LAX),2020-11,12.00,10.00,9.50,9.50,9.50,미주,미국
17,Los_Angeles(LAX),2020-10,10.82,9.49,9.16,9.16,9.16,미주,미국
18,Los_Angeles(LAX),2020-09,9.20,8.53,8.20,8.20,8.20,미주,미국
19,Los_Angeles(LAX),2020-08,9.90,9.02,8.20,8.00,8.00,미주,미국
20,Los_Angeles(LAX),2020-07,9.90,9.02,8.20,8.00,8.00,미주,미국
21,Los_Angeles(LAX),2020-06,9.90,9.02,8.20,8.00,8.00,미주,미국
22,Los_Angeles(LAX),2020-05,9.02,8.02,7.20,7.00,7.00,미주,미국
23,Los_Angeles(LAX),2020-04,9.02,8.02,7.20,7.00,7.00,미주,미국
24,Los_Angeles(LAX),2020-03,7.27,6.52,5.52,4.93,5.07,미주,미국
25,Los_Angeles(LAX),2020-02,5.39,4.89,4.20,3.78,3.84,미주,미국
26,Los_Angeles(LAX),2020-01,4.63,4.13,3.94,3.91,3.88,미주,미국
27,Los_Angeles(LAX),2019-12,4.69,4.19,4.00,3.97,3.94,미주,미국
28,Los_Angeles(LAX),2019-11,4.75,4.42,4.06,4.03,4.00,미주,미국
29,Los_Angeles(LAX),2019-10,4.45,4.12,3.76,3.73,3.70,미주,미국
30,Los_Angeles(LAX),2019-09,4.54,4.21,3.84,3.82,3.79,미주,미국
31,Los_Angeles(LAX),2019-08,4.41,4.07,3.71,3.69,3.66,미주,미국
32,Los_Angeles(LAX),2019-07,4.43,4.10,3.74,3.71,3.68,미주,미국
33,Los_Angeles(LAX),2019-06,4.43,3.93,3.83,3.80,3.78,미주,미국
34,Los_Angeles(LAX),2019-05,4.43,3.92,3.83,3.80,3.77,미주,미국
35,Los_Angeles(LAX),2019-04,4.73,4.22,4.06,4.03,4.00,미주,미국
36,Los_Angeles(LAX),2019-03,4.91,4.41,4.24,4.21,4.18,미주,미국
37,Los_Angeles(LAX),2019-02,4.92,4.41,4.25,4.22,4.19,미주,미국
38,Los_Angeles(LAX),2019-01,5.07,4.56,4.40,4.37,4.34,미주,미국
39,Los_Angeles(LAX),2018-12,5.09,4.59,4.42,4.39,4.36,미주,미국
40,Los_Angeles(LAX),2018-11,5.30,4.79,4.63,4.60,4.57,미주,미국
41,Los_Angeles(LAX),2018-10,5.23,4.72,4.56,4.53,4.50,미주,미국
42,Los_Angeles(LAX),2018-09,5.19,4.58,4.42,4.39,4.36,미주,미국
43,Los_Angeles(LAX),2018-08,4.75,4.34,4.19,4.16,4.13,미주,미국
44,Los_Angeles(LAX),2018-07,4.69,4.28,4.13,4.10,4.07,미주,미국
45,Los_Angeles(LAX),2018-06,4.72,4.31,4.15,4.12,4.09,미주,미국
46,Los_Angeles(LAX),2018-05,4.77,4.36,4.20,4.17,4.14,미주,미국
47,Los_Angeles(LAX),2018-04,4.77,4.36,4.20,4.17,4.14,미주,미국
48,Los_Angeles(LAX),2018-03,4.87,4.46,4.30,4.27,4.24,미주,미국
49,Los_Angeles(LAX),2018-02,4.98,4.57,4.41,4.38,4.35,미주,미국
50,Los_Angeles(LAX),2018-01,4.76,4.68,4.52,4.49,4.46,미주,미국
51,New_York(JFK),2022-03,18.00,19.00,19.00,19.00,19.00,미주,미국
52,New_York(JFK),2022-02,18.00,19.00,19.00,19.00,19.00,미주,미국
53,New_York(JFK),2022-01,18.00,19.00,19.00,19.00,19.00,미주,미국
54,New_York(JFK),2021-12,18.000,19.000,19.000,19.000,19.000,미주,미국
55,New_York(JFK),2021-11,18.000,19.000,19.000,19.000,19.000,미주,미국
56,New_York(JFK),2021-10,18.000,19.000,19.000,19.000,19.000,미주,미국
57,New_York(JFK),2021-09,13.000,10.500,10.000,10.000,10.000,미주,미국
58,New_York(JFK),2021-08,13.000,10.500,10.000,10.000,10.000,미주,미국
59,New_York(JFK),2021-07,13.000,10.500,10.000,10.000,10.000,미주,미국
60,New_York(JFK),2021-06,13.00,10.50,10.00,10.00,10.00,미주,미국
61,New_York(JFK),2021-05,13.00,10.50,10.00,10.00,10.00,미주,미국
62,New_York(JFK),2021-04,13.00,10.50,10.00,10.00,10.00,미주,미국
63,New_York(JFK),2021-03,13.00,12.00,11.50,11.50,11.50,미주,미국
64,New_York(JFK),2021-02,13.00,12.00,11.50,11.50,11.50,미주,미국
65,New_York(JFK),2021-01,13.00,12.00,11.50,11.50,11.50,미주,미국
66,New_York(JFK),2020-12,13.00,12.00,11.50,11.50,11.50,미주,미국
67,New_York(JFK),2020-11,13.00,12.00,11.50,11.50,11.50,미주,미국
68,New_York(JFK),2020-10,11.72,11.06,10.72,10.72,10.72,미주,미국
69,New_York(JFK),2020-09,9.10,8.43,8.10,8.10,8.10,미주,미국
70,New_York(JFK),2020-08,13.00,11.75,11.25,11.25,11.25,미주,미국
71,New_York(JFK),2020-07,13.00,11.75,11.25,11.25,11.25,미주,미국
72,New_York(JFK),2020-06,13.00,11.75,11.25,11.25,11.25,미주,미국
73,New_York(JFK),2020-05,11.75,10.75,10.25,10.25,10.25,미주,미국
74,New_York(JFK),2020-04,12.50,11.50,11.00,11.00,11.00,미주,미국
75,New_York(JFK),2020-03,6.27,5.62,5.27,5.27,5.27,미주,미국
76,New_York(JFK),2020-02,4.78,4.35,4.09,4.06,4.03,미주,미국
77,New_York(JFK),2020-01,4.83,4.40,4.13,4.11,4.08,미주,미국
78,New_York(JFK),2019-12,4.89,4.45,4.19,4.16,4.13,미주,미국
79,New_York(JFK),2019-11,4.98,4.54,4.28,4.25,4.22,미주,미국
80,New_York(JFK),2019-10,4.85,4.41,4.15,4.12,4.09,미주,미국
81,New_York(JFK),2019-09,4.96,4.53,4.26,4.24,4.21,미주,미국
82,New_York(JFK),2019-08,4.74,4.31,4.04,4.02,3.99,미주,미국
83,New_York(JFK),2019-07,4.77,4.33,4.07,4.04,4.02,미주,미국
84,New_York(JFK),2019-06,4.57,4.22,4.06,4.03,4.00,미주,미국
85,New_York(JFK),2019-05,4.57,4.22,4.05,4.03,4.00,미주,미국
86,New_York(JFK),2019-04,4.71,4.36,4.13,4.10,4.07,미주,미국
87,New_York(JFK),2019-03,5.04,4.69,4.46,4.43,4.40,미주,미국
88,New_York(JFK),2019-02,4.96,4.61,4.38,4.35,4.32,미주,미국
89,New_York(JFK),2019-01,4.96,4.61,4.38,4.35,4.32,미주,미국
90,New_York(JFK),2018-12,5.20,4.85,4.62,4.59,4.56,미주,미국
91,New_York(JFK),2018-11,5.22,4.87,4.64,4.61,4.58,미주,미국
92,New_York(JFK),2018-10,5.10,4.75,4.52,4.49,4.46,미주,미국
93,New_York(JFK),2018-09,4.93,4.58,4.35,4.32,4.30,미주,미국
94,New_York(JFK),2018-08,5.15,4.39,4.23,4.20,4.18,미주,미국
95,New_York(JFK),2018-07,5.14,4.39,4.23,4.20,4.17,미주,미국
96,New_York(JFK),2018-06,5.18,4.42,4.26,4.23,4.20,미주,미국
97,New_York(JFK),2018-05,5.17,4.42,4.26,4.23,4.20,미주,미국
98,New_York(JFK),2018-04,5.14,4.39,4.23,4.20,4.17,미주,미국
99,New_York(JFK),2018-03,5.28,4.52,4.36,4.33,4.30,미주,미국
100,New_York(JFK),2018-02,5.32,4.57,4.41,4.38,4.35,미주,미국
101,New_York(JFK),2018-01,5.13,4.71,4.55,4.52,4.49,미주,미국
102,Chicago(ORD),2022-03,17.00,17.00,17.00,17.00,17.00,미주,미국
103,Chicago(ORD),2022-02,17.00,17.00,17.00,17.00,17.00,미주,미국
104,Chicago(ORD),2022-01,17.00,17.00,17.00,17.00,17.00,미주,미국
105,Chicago(ORD),2021-12,17.000,17.000,17.000,17.000,17.000,미주,미국
106,Chicago(ORD),2021-11,17.000,17.000,17.000,17.000,17.000,미주,미국
107,Chicago(ORD),2021-10,17.000,17.000,17.000,17.000,17.000,미주,미국
108,Chicago(ORD),2021-09,10.500,10.500,10.400,10.350,10.350,미주,미국
109,Chicago(ORD),2021-08,10.500,10.500,10.400,10.350,10.350,미주,미국
110,Chicago(ORD),2021-07,10.500,10.500,10.400,10.350,10.350,미주,미국
111,Chicago(ORD),2021-06,14.00,10.50,10.40,10.35,10.35,미주,미국
112,Chicago(ORD),2021-05,14.00,10.50,10.40,10.35,10.35,미주,미국
113,Chicago(ORD),2021-04,14.00,10.50,10.40,10.35,10.35,미주,미국
114,Chicago(ORD),2021-03,14.00,10.50,10.40,10.35,10.35,미주,미국
115,Chicago(ORD),2021-02,14.00,10.50,10.40,10.35,10.35,미주,미국
116,Chicago(ORD),2021-01,14.00,10.50,10.40,10.35,10.35,미주,미국
117,Chicago(ORD),2020-12,14.00,10.50,10.40,10.35,10.35,미주,미국
118,Chicago(ORD),2020-11,14.00,10.50,10.40,10.35,10.35,미주,미국
119,Chicago(ORD),2020-10,13.36,11.24,11.17,11.14,11.14,미주,미국
120,Chicago(ORD),2020-09,8.53,8.02,7.95,7.92,7.92,미주,미국
121,Chicago(ORD),2020-08,8.30,7.65,7.35,7.10,7.10,미주,미국
122,Chicago(ORD),2020-07,8.30,7.65,7.35,7.10,7.10,미주,미국
123,Chicago(ORD),2020-06,8.30,7.65,7.35,7.10,7.10,미주,미국
124,Chicago(ORD),2020-05,6.65,6.65,6.35,6.10,6.10,미주,미국
125,Chicago(ORD),2020-04,6.65,6.65,6.35,6.10,6.10,미주,미국
126,Chicago(ORD),2020-03,5.22,5.22,5.12,5.07,5.07,미주,미국
127,Chicago(ORD),2020-02,4.08,4.08,3.99,3.93,3.90,미주,미국
128,Chicago(ORD),2020-01,3.85,3.85,3.69,3.62,3.60,미주,미국
129,Chicago(ORD),2019-12,3.91,3.91,3.74,3.68,3.65,미주,미국
130,Chicago(ORD),2019-11,3.97,3.97,3.80,3.74,3.71,미주,미국
131,Chicago(ORD),2019-10,3.81,3.81,3.65,3.58,3.56,미주,미국
132,Chicago(ORD),2019-09,3.89,3.89,3.73,3.67,3.64,미주,미국
133,Chicago(ORD),2019-08,3.70,3.70,3.54,3.48,3.45,미주,미국
134,Chicago(ORD),2019-07,3.84,3.84,3.68,3.62,3.59,미주,미국
135,Chicago(ORD),2019-06,4.08,4.08,3.94,3.90,3.86,미주,미국
136,Chicago(ORD),2019-05,4.21,4.21,4.07,4.02,3.98,미주,미국
137,Chicago(ORD),2019-04,4.23,4.23,4.08,4.04,4.00,미주,미국
138,Chicago(ORD),2019-03,4.68,4.68,4.54,4.49,4.45,미주,미국
139,Chicago(ORD),2019-02,4.56,4.56,4.42,4.37,4.33,미주,미국
140,Chicago(ORD),2019-01,4.70,4.70,4.55,4.51,4.46,미주,미국
141,Chicago(ORD),2018-12,4.69,4.69,4.55,4.50,4.46,미주,미국
142,Chicago(ORD),2018-11,4.99,4.99,4.85,4.80,4.76,미주,미국
143,Chicago(ORD),2018-10,4.94,4.94,4.79,4.75,4.71,미주,미국
144,Chicago(ORD),2018-09,4.97,4.97,4.82,4.78,4.73,미주,미국
145,Chicago(ORD),2018-08,5.21,4.58,4.42,4.39,4.36,미주,미국
146,Chicago(ORD),2018-07,5.11,4.49,4.33,4.30,4.27,미주,미국
147,Chicago(ORD),2018-06,5.15,4.52,4.36,4.33,4.30,미주,미국
148,Chicago(ORD),2018-05,5.20,4.58,4.42,4.39,4.36,미주,미국
149,Chicago(ORD),2018-04,5.17,4.55,4.39,4.36,4.33,미주,미국
150,Chicago(ORD),2018-03,5.28,4.65,4.49,4.46,4.43,미주,미국
151,Chicago(ORD),2018-02,5.32,4.70,4.54,4.51,4.48,미주,미국
152,Chicago(ORD),2018-01,5.07,4.78,4.62,4.59,4.56,미주,미국
153,San_Francisco(SFO),2022-03,20.50,18.00,17.50,17.50,17.50,미주,미국
154,San_Francisco(SFO),2022-02,20.50,17.00,16.50,16.50,16.50,미주,미국
155,San_Francisco(SFO),2022-01,20.50,17.00,16.50,16.50,16.50,미주,미국
156,San_Francisco(SFO),2021-12,20.500,18.000,17.500,17.500,17.500,미주,미국
157,San_Francisco(SFO),2021-11,20.500,17.000,16.500,16.500,16.500,미주,미국
158,San_Francisco(SFO),2021-10,20.500,17.000,16.500,16.500,16.500,미주,미국
159,San_Francisco(SFO),2021-09,12.500,12.000,11.500,11.500,11.500,미주,미국
160,San_Francisco(SFO),2021-08,12.500,12.000,11.500,11.500,11.500,미주,미국
161,San_Francisco(SFO),2021-07,12.500,12.000,11.500,11.500,11.500,미주,미국
162,San_Francisco(SFO),2021-06,12.50,12.00,11.50,11.50,11.50,미주,미국
163,San_Francisco(SFO),2021-05,12.50,12.00,11.50,11.50,11.50,미주,미국
164,San_Francisco(SFO),2021-04,12.50,12.00,11.50,11.50,11.50,미주,미국
165,San_Francisco(SFO),2021-03,11.50,11.00,10.50,10.50,10.50,미주,미국
166,San_Francisco(SFO),2021-02,11.50,11.00,10.50,10.50,10.50,미주,미국
167,San_Francisco(SFO),2021-01,11.50,11.00,10.50,10.50,10.50,미주,미국
168,San_Francisco(SFO),2020-12,11.50,11.00,10.50,10.50,10.50,미주,미국
169,San_Francisco(SFO),2020-11,11.50,11.00,10.50,10.50,10.50,미주,미국
170,San_Francisco(SFO),2020-10,10.16,9.82,9.49,9.49,9.49,미주,미국
171,San_Francisco(SFO),2020-09,9.71,9.37,9.04,9.04,9.04,미주,미국
172,San_Francisco(SFO),2020-08,9.55,8.45,7.80,7.60,7.60,미주,미국
173,San_Francisco(SFO),2020-07,9.55,8.45,7.80,7.60,7.60,미주,미국
174,San_Francisco(SFO),2020-06,9.55,8.45,7.80,7.60,7.60,미주,미국
175,San_Francisco(SFO),2020-05,8.55,7.45,6.80,6.60,6.60,미주,미국
176,San_Francisco(SFO),2020-04,8.55,7.45,6.80,6.60,6.60,미주,미국
177,San_Francisco(SFO),2020-03,6.87,6.37,5.87,5.87,5.87,미주,미국
178,San_Francisco(SFO),2020-02,5.21,4.88,4.52,4.49,4.46,미주,미국
179,San_Francisco(SFO),2020-01,4.72,4.39,4.02,4.00,3.97,미주,미국
180,San_Francisco(SFO),2019-12,4.83,4.50,4.14,4.11,4.08,미주,미국
181,San_Francisco(SFO),2019-11,4.78,4.45,4.09,4.06,4.03,미주,미국
182,San_Francisco(SFO),2019-10,4.65,4.32,3.96,3.93,3.90,미주,미국
183,San_Francisco(SFO),2019-09,4.68,4.35,3.99,3.96,3.93,미주,미국
184,San_Francisco(SFO),2019-08,4.57,4.24,3.88,3.85,3.82,미주,미국
185,San_Francisco(SFO),2019-07,4.63,4.30,3.93,3.91,3.88,미주,미국
186,San_Francisco(SFO),2019-06,3.60,3.60,3.56,3.52,3.47,미주,미국
187,San_Francisco(SFO),2019-05,3.77,3.77,3.72,3.68,3.64,미주,미국
188,San_Francisco(SFO),2019-04,3.96,3.96,3.81,3.77,3.73,미주,미국
189,San_Francisco(SFO),2019-03,4.32,4.32,4.18,4.13,4.09,미주,미국
190,San_Francisco(SFO),2019-02,4.20,4.20,4.06,4.01,3.97,미주,미국
191,San_Francisco(SFO),2019-01,4.42,4.42,4.28,4.23,4.19,미주,미국
192,San_Francisco(SFO),2018-12,4.46,4.46,4.32,4.27,4.23,미주,미국
193,San_Francisco(SFO),2018-11,4.77,4.77,4.62,4.58,4.53,미주,미국
194,San_Francisco(SFO),2018-10,4.62,4.62,4.48,4.44,4.39,미주,미국
195,San_Francisco(SFO),2018-09,4.47,4.47,4.33,4.28,4.24,미주,미국
196,San_Francisco(SFO),2018-08,4.87,4.43,4.27,4.24,4.21,미주,미국
197,San_Francisco(SFO),2018-07,4.84,4.40,4.24,4.21,4.18,미주,미국
198,San_Francisco(SFO),2018-06,4.87,4.43,4.27,4.24,4.21,미주,미국
199,San_Francisco(SFO),2018-05,4.95,4.51,4.36,4.33,4.29,미주,미국
200,San_Francisco(SFO),2018-04,4.92,4.48,4.33,4.30,4.26,미주,미국
201,San_Francisco(SFO),2018-03,4.93,4.49,4.33,4.30,4.27,미주,미국
202,San_Francisco(SFO),2018-02,4.89,4.45,4.29,4.26,4.23,미주,미국
203,San_Francisco(SFO),2018-01,4.57,4.46,4.30,4.27,4.24,미주,미국
204,Atlanta(ATL),2022-03,17.50,17.50,16.50,16.50,16.50,미주,미국
205,Atlanta(ATL),2022-02,16.00,16.00,15.00,15.00,15.00,미주,미국
206,Atlanta(ATL),2022-01,16.00,16.00,15.00,15.00,15.00,미주,미국
207,Atlanta(ATL),2021-12,17.500,17.500,16.500,16.500,16.500,미주,미국
208,Atlanta(ATL),2021-11,16.000,16.000,15.000,15.000,15.000,미주,미국
209,Atlanta(ATL),2021-10,16.000,16.000,15.000,15.000,15.000,미주,미국
210,Atlanta(ATL),2021-09,14.500,14.250,13.500,13.500,13.500,미주,미국
211,Atlanta(ATL),2021-08,14.500,14.250,13.500,13.500,13.500,미주,미국
212,Atlanta(ATL),2021-07,14.500,14.250,13.500,13.500,13.500,미주,미국
213,Atlanta(ATL),2021-06,14.50,14.25,13.50,13.50,13.50,미주,미국
214,Atlanta(ATL),2021-05,14.50,14.25,13.50,13.50,13.50,미주,미국
215,Atlanta(ATL),2021-04,14.50,14.25,13.50,13.50,13.50,미주,미국
216,Atlanta(ATL),2021-03,16.50,16.25,15.25,15.25,15.25,미주,미국
217,Atlanta(ATL),2021-02,16.50,16.25,15.25,15.25,15.25,미주,미국
218,Atlanta(ATL),2021-01,16.50,16.25,15.25,15.25,15.25,미주,미국
219,Atlanta(ATL),2020-12,16.50,16.25,15.25,15.25,15.25,미주,미국
220,Atlanta(ATL),2020-11,16.50,16.25,15.25,15.25,15.25,미주,미국
221,Atlanta(ATL),2020-10,13.00,12.75,11.75,11.75,11.75,미주,미국
222,Atlanta(ATL),2020-09,10.50,10.25,9.25,9.25,9.25,미주,미국
223,Atlanta(ATL),2020-08,10.05,9.80,8.60,8.35,8.35,미주,미국
224,Atlanta(ATL),2020-07,10.05,9.80,8.60,8.35,8.35,미주,미국
225,Atlanta(ATL),2020-06,10.05,9.80,7.60,7.35,7.35,미주,미국
226,Atlanta(ATL),2020-05,9.05,8.80,7.60,7.35,7.35,미주,미국
227,Atlanta(ATL),2020-04,9.05,8.80,7.60,7.35,7.35,미주,미국
228,Atlanta(ATL),2020-03,7.77,7.12,6.62,6.62,6.62,미주,미국
229,Atlanta(ATL),2020-02,7.27,6.62,6.12,6.12,6.12,미주,미국
230,Atlanta(ATL),2020-01,6.40,5.75,5.15,5.15,5.15,미주,미국
231,Atlanta(ATL),2019-12,6.40,5.75,5.15,5.15,5.15,미주,미국
232,Atlanta(ATL),2019-11,6.40,5.75,5.15,5.15,5.15,미주,미국
233,Atlanta(ATL),2019-10,6.40,5.75,5.15,5.15,5.15,미주,미국
234,Atlanta(ATL),2019-09,6.40,5.75,5.15,5.15,5.15,미주,미국
235,Atlanta(ATL),2019-08,6.40,5.75,5.15,5.15,5.15,미주,미국
