,년월,지역,국가명,화물(톤)
0,2018-01,미주,미국,54339
1,2018-02,미주,미국,46270
2,2018-03,미주,미국,57069
3,2018-04,미주,미국,55639
4,2018-05,미주,미국,58745
5,2018-06,미주,미국,60077
6,2018-07,미주,미국,64079
7,2018-08,미주,미국,59088
8,2018-09,미주,미국,56577
9,2018-10,미주,미국,60402
10,2018-11,미주,미국,58952
11,2018-12,미주,미국,56195
12,2019-01,미주,미국,50415
13,2019-02,미주,미국,43868
14,2019-03,미주,미국,56073
15,2019-04,미주,미국,52819
16,2019-05,미주,미국,55228
17,2019-06,미주,미국,58301
18,2019-07,미주,미국,59325
19,2019-08,미주,미국,56513
20,2019-09,미주,미국,51911
21,2019-10,미주,미국,56901
22,2019-11,미주,미국,56471
23,2019-12,미주,미국,54869
24,2020-01,미주,미국,50883
25,2020-02,미주,미국,47326
26,2020-03,미주,미국,53208
27,2020-04,미주,미국,47042
28,2020-05,미주,미국,54248
29,2020-06,미주,미국,53228
30,2020-07,미주,미국,57475
31,2020-08,미주,미국,55963
32,2020-09,미주,미국,57417
33,2020-10,미주,미국,62205
34,2020-11,미주,미국,60339
35,2020-12,미주,미국,60937
36,2021-01,미주,미국,57316
37,2021-02,미주,미국,56951
38,2021-03,미주,미국,67916
39,2021-04,미주,미국,68522
40,2021-05,미주,미국,75215
41,2021-06,미주,미국,73746
42,2021-07,미주,미국,76726
43,2021-08,미주,미국,75521
44,2021-09,미주,미국,73517
45,2021-10,미주,미국,73053
46,2021-11,미주,미국,71877
47,2021-12,미주,미국,74757
48,2022-01,미주,미국,71402
49,2022-02,미주,미국,60823
50,2022-03,미주,미국,73228
51,2018-01,유럽,독일,12656
52,2018-02,유럽,독일,13103
53,2018-03,유럽,독일,15351
54,2018-04,유럽,독일,13798
55,2018-05,유럽,독일,13267
56,2018-06,유럽,독일,13127
57,2018-07,유럽,독일,13301
58,2018-08,유럽,독일,12756
59,2018-09,유럽,독일,13600
60,2018-10,유럽,독일,14998
61,2018-11,유럽,독일,16052
62,2018-12,유럽,독일,14553
63,2019-01,유럽,독일,12285
64,2019-02,유럽,독일,11517
65,2019-03,유럽,독일,14580
66,2019-04,유럽,독일,13083
67,2019-05,유럽,독일,12840
68,2019-06,유럽,독일,11943
69,2019-07,유럽,독일,12210
70,2019-08,유럽,독일,11667
71,2019-09,유럽,독일,12675
72,2019-10,유럽,독일,14271
73,2019-11,유럽,독일,14547
74,2019-12,유럽,독일,13502
75,2020-01,유럽,독일,12405
76,2020-02,유럽,독일,13280
77,2020-03,유럽,독일,15118
78,2020-04,유럽,독일,14949
79,2020-05,유럽,독일,14145
80,2020-06,유럽,독일,12576
81,2020-07,유럽,독일,12533
82,2020-08,유럽,독일,11403
83,2020-09,유럽,독일,12233
84,2020-10,유럽,독일,13732
85,2020-11,유럽,독일,14779
86,2020-12,유럽,독일,15677
87,2021-01,유럽,독일,14295
88,2021-02,유럽,독일,13667
89,2021-03,유럽,독일,15834
90,2021-04,유럽,독일,14611
91,2021-05,유럽,독일,14464
92,2021-06,유럽,독일,13786
93,2021-07,유럽,독일,14076
94,2021-08,유럽,독일,13430
95,2021-09,유럽,독일,14011
96,2021-10,유럽,독일,15516
97,2021-11,유럽,독일,14781
98,2021-12,유럽,독일,15057
99,2022-01,유럽,독일,14827
100,2022-02,유럽,독일,13159
101,2022-03,유럽,독일,16498
102,2018-01,유럽,프랑스,3345
103,2018-02,유럽,프랑스,3064
104,2018-03,유럽,프랑스,3491
105,2018-04,유럽,프랑스,3590
106,2018-05,유럽,프랑스,3916
107,2018-06,유럽,프랑스,4314
108,2018-07,유럽,프랑스,4371
109,2018-08,유럽,프랑스,4177
110,2018-09,유럽,프랑스,4366
111,2018-10,유럽,프랑스,4308
112,2018-11,유럽,프랑스,3344
113,2018-12,유럽,프랑스,3501
114,2019-01,유럽,프랑스,2806
115,2019-02,유럽,프랑스,2556
116,2019-03,유럽,프랑스,3013
117,2019-04,유럽,프랑스,3258
118,2019-05,유럽,프랑스,3640
119,2019-06,유럽,프랑스,3784
120,2019-07,유럽,프랑스,3930
121,2019-08,유럽,프랑스,3718
122,2019-09,유럽,프랑스,3812
123,2019-10,유럽,프랑스,3665
124,2019-11,유럽,프랑스,3356
125,2019-12,유럽,프랑스,3312
126,2020-01,유럽,프랑스,3214
127,2020-02,유럽,프랑스,2842
128,2020-03,유럽,프랑스,1894
129,2020-04,유럽,프랑스,968
130,2020-05,유럽,프랑스,998
131,2020-06,유럽,프랑스,919
132,2020-07,유럽,프랑스,1552
133,2020-08,유럽,프랑스,1630
134,2020-09,유럽,프랑스,1586
135,2020-10,유럽,프랑스,1764
136,2020-11,유럽,프랑스,2023
137,2020-12,유럽,프랑스,1536
138,2021-01,유럽,프랑스,1740
139,2021-02,유럽,프랑스,1701
140,2021-03,유럽,프랑스,1839
141,2021-04,유럽,프랑스,1578
142,2021-05,유럽,프랑스,1354
143,2021-06,유럽,프랑스,1531
144,2021-07,유럽,프랑스,1444
145,2021-08,유럽,프랑스,1505
146,2021-09,유럽,프랑스,1412
147,2021-10,유럽,프랑스,1550
148,2021-11,유럽,프랑스,1751
149,2021-12,유럽,프랑스,1529
150,2022-01,유럽,프랑스,1578
151,2022-02,유럽,프랑스,1380
152,2022-03,유럽,프랑스,1653
153,2018-01,유럽,이탈리아,3345
154,2018-02,유럽,이탈리아,3489
155,2018-03,유럽,이탈리아,4119
156,2018-04,유럽,이탈리아,4205
157,2018-05,유럽,이탈리아,4372
158,2018-06,유럽,이탈리아,4775
159,2018-07,유럽,이탈리아,5010
160,2018-08,유럽,이탈리아,3976
161,2018-09,유럽,이탈리아,4454
162,2018-10,유럽,이탈리아,4561
163,2018-11,유럽,이탈리아,4454
164,2018-12,유럽,이탈리아,4200
165,2019-01,유럽,이탈리아,3567
166,2019-02,유럽,이탈리아,3341
167,2019-03,유럽,이탈리아,4159
168,2019-04,유럽,이탈리아,3901
169,2019-05,유럽,이탈리아,4290
170,2019-06,유럽,이탈리아,4389
171,2019-07,유럽,이탈리아,4805
172,2019-08,유럽,이탈리아,4521
173,2019-09,유럽,이탈리아,4554
174,2019-10,유럽,이탈리아,5241
175,2019-11,유럽,이탈리아,5116
176,2019-12,유럽,이탈리아,4707
177,2020-01,유럽,이탈리아,3794
178,2020-02,유럽,이탈리아,3640
179,2020-03,유럽,이탈리아,3695
180,2020-04,유럽,이탈리아,3080
181,2020-05,유럽,이탈리아,3427
182,2020-06,유럽,이탈리아,3453
183,2020-07,유럽,이탈리아,3285
184,2020-08,유럽,이탈리아,2905
185,2020-09,유럽,이탈리아,2791
186,2020-10,유럽,이탈리아,3282
187,2020-11,유럽,이탈리아,3622
188,2020-12,유럽,이탈리아,3012
189,2021-01,유럽,이탈리아,2548
190,2021-02,유럽,이탈리아,2711
191,2021-03,유럽,이탈리아,3849
192,2021-04,유럽,이탈리아,3460
193,2021-05,유럽,이탈리아,3851
194,2021-06,유럽,이탈리아,3522
195,2021-07,유럽,이탈리아,4341
196,2021-08,유럽,이탈리아,3616
197,2021-09,유럽,이탈리아,3217
198,2021-10,유럽,이탈리아,3408
199,2021-11,유럽,이탈리아,3435
200,2021-12,유럽,이탈리아,3620
201,2022-01,유럽,이탈리아,3487
202,2022-02,유럽,이탈리아,3127
203,2022-03,유럽,이탈리아,4196
204,2018-01,유럽,러시아,4344
205,2018-02,유럽,러시아,4568
206,2018-03,유럽,러시아,4667
207,2018-04,유럽,러시아,4833
208,2018-05,유럽,러시아,5136
209,2018-06,유럽,러시아,5376
210,2018-07,유럽,러시아,5825
211,2018-08,유럽,러시아,5875
212,2018-09,유럽,러시아,5985
213,2018-10,유럽,러시아,5316
214,2018-11,유럽,러시아,5517
215,2018-12,유럽,러시아,5233
216,2019-01,유럽,러시아,4452
217,2019-02,유럽,러시아,4024
218,2019-03,유럽,러시아,4938
219,2019-04,유럽,러시아,4780
220,2019-05,유럽,러시아,5279
221,2019-06,유럽,러시아,6124
222,2019-07,유럽,러시아,6600
223,2019-08,유럽,러시아,5856
224,2019-09,유럽,러시아,5101
225,2019-10,유럽,러시아,4555
226,2019-11,유럽,러시아,4256
227,2019-12,유럽,러시아,4141
228,2020-01,유럽,러시아,3227
229,2020-02,유럽,러시아,3298
230,2020-03,유럽,러시아,3408
231,2020-04,유럽,러시아,3040
232,2020-05,유럽,러시아,2845
233,2020-06,유럽,러시아,3225
234,2020-07,유럽,러시아,3400
235,2020-08,유럽,러시아,2830
236,2020-09,유럽,러시아,3081
237,2020-10,유럽,러시아,3341
238,2020-11,유럽,러시아,3988
239,2020-12,유럽,러시아,3533
240,2021-01,유럽,러시아,3046
241,2021-02,유럽,러시아,3050
242,2021-03,유럽,러시아,3953
243,2021-04,유럽,러시아,3668
244,2021-05,유럽,러시아,3836
245,2021-06,유럽,러시아,3290
246,2021-07,유럽,러시아,3585
247,2021-08,유럽,러시아,3388
248,2021-09,유럽,러시아,3061
249,2021-10,유럽,러시아,3516
250,2021-11,유럽,러시아,3353
251,2021-12,유럽,러시아,3802
252,2022-01,유럽,러시아,3388
253,2022-02,유럽,러시아,3604
254,2022-03,유럽,러시아,391
255,2018-01,아시아,중국,61175
256,2018-02,아시아,중국,51183
257,2018-03,아시아,중국,65345
258,2018-04,아시아,중국,63762
259,2018-05,아시아,중국,64102
260,2018-06,아시아,중국,61732
261,2018-07,아시아,중국,62878
262,2018-08,아시아,중국,67085
263,2018-09,아시아,중국,67221
264,2018-10,아시아,중국,68059
265,2018-11,아시아,중국,66347
266,2018-12,아시아,중국,62245
267,2019-01,아시아,중국,58542
268,2019-02,아시아,중국,47402
269,2019-03,아시아,중국,62280
270,2019-04,아시아,중국,59677
271,2019-05,아시아,중국,60576
272,2019-06,아시아,중국,61215
273,2019-07,아시아,중국,61286
274,2019-08,아시아,중국,66644
275,2019-09,아시아,중국,66770
276,2019-10,아시아,중국,70531
277,2019-11,아시아,중국,70667
278,2019-12,아시아,중국,68109
279,2020-01,아시아,중국,61373
280,2020-02,아시아,중국,45509
281,2020-03,아시아,중국,49043
282,2020-04,아시아,중국,44522
283,2020-05,아시아,중국,44699
284,2020-06,아시아,중국,41292
285,2020-07,아시아,중국,44137
286,2020-08,아시아,중국,42555
287,2020-09,아시아,중국,49885
288,2020-10,아시아,중국,47035
289,2020-11,아시아,중국,49034
290,2020-12,아시아,중국,51819
291,2021-01,아시아,중국,50138
292,2021-02,아시아,중국,41705
293,2021-03,아시아,중국,52430
294,2021-04,아시아,중국,51006
295,2021-05,아시아,중국,50511
296,2021-06,아시아,중국,48615
297,2021-07,아시아,중국,50990
298,2021-08,아시아,중국,49385
299,2021-09,아시아,중국,52578
300,2021-10,아시아,중국,50250
301,2021-11,아시아,중국,50296
302,2021-12,아시아,중국,50865
303,2022-01,아시아,중국,46472
304,2022-02,아시아,중국,40657
305,2022-03,아시아,중국,48055
306,2018-01,아시아,베트남,27635
307,2018-02,아시아,베트남,20753
308,2018-03,아시아,베트남,27038
309,2018-04,아시아,베트남,24464
310,2018-05,아시아,베트남,23555
311,2018-06,아시아,베트남,24014
312,2018-07,아시아,베트남,25783
313,2018-08,아시아,베트남,26959
314,2018-09,아시아,베트남,26209
315,2018-10,아시아,베트남,28758
316,2018-11,아시아,베트남,26916
317,2018-12,아시아,베트남,26767
318,2019-01,아시아,베트남,29900
319,2019-02,아시아,베트남,23883
320,2019-03,아시아,베트남,31069
321,2019-04,아시아,베트남,27511
322,2019-05,아시아,베트남,26569
323,2019-06,아시아,베트남,26673
324,2019-07,아시아,베트남,29644
325,2019-08,아시아,베트남,29597
326,2019-09,아시아,베트남,28030
327,2019-10,아시아,베트남,29853
328,2019-11,아시아,베트남,27159
329,2019-12,아시아,베트남,28500
330,2020-01,아시아,베트남,28494
331,2020-02,아시아,베트남,25583
332,2020-03,아시아,베트남,15285
333,2020-04,아시아,베트남,11186
334,2020-05,아시아,베트남,11473
335,2020-06,아시아,베트남,15461
336,2020-07,아시아,베트남,17841
337,2020-08,아시아,베트남,17750
338,2020-09,아시아,베트남,19876
339,2020-10,아시아,베트남,20468
340,2020-11,아시아,베트남,18196
341,2020-12,아시아,베트남,20709
342,2021-01,아시아,베트남,20824
343,2021-02,아시아,베트남,14855
344,2021-03,아시아,베트남,20991
345,2021-04,아시아,베트남,20281
346,2021-05,아시아,베트남,18934
347,2021-06,아시아,베트남,19530
348,2021-07,아시아,베트남,21273
349,2021-08,아시아,베트남,19240
350,2021-09,아시아,베트남,19670
351,2021-10,아시아,베트남,21561
352,2021-11,아시아,베트남,21727
353,2021-12,아시아,베트남,23985
354,2022-01,아시아,베트남,23094
355,2022-02,아시아,베트남,16777
356,2022-03,아시아,베트남,24235
357,2018-01,아시아,싱가포르,9262
358,2018-02,아시아,싱가포르,8205
359,2018-03,아시아,싱가포르,10158
360,2018-04,아시아,싱가포르,9933
361,2018-05,아시아,싱가포르,9431
362,2018-06,아시아,싱가포르,8860
363,2018-07,아시아,싱가포르,9819
364,2018-08,아시아,싱가포르,9093
365,2018-09,아시아,싱가포르,9428
366,2018-10,아시아,싱가포르,9689
367,2018-11,아시아,싱가포르,9600
368,2018-12,아시아,싱가포르,10057
369,2019-01,아시아,싱가포르,9720
370,2019-02,아시아,싱가포르,8145
371,2019-03,아시아,싱가포르,10530
372,2019-04,아시아,싱가포르,9947
373,2019-05,아시아,싱가포르,9520
374,2019-06,아시아,싱가포르,9309
375,2019-07,아시아,싱가포르,9013
376,2019-08,아시아,싱가포르,9907
377,2019-09,아시아,싱가포르,9512
378,2019-10,아시아,싱가포르,10892
379,2019-11,아시아,싱가포르,10417
380,2019-12,아시아,싱가포르,10918
381,2020-01,아시아,싱가포르,9911
382,2020-02,아시아,싱가포르,9220
383,2020-03,아시아,싱가포르,6107
384,2020-04,아시아,싱가포르,7186
385,2020-05,아시아,싱가포르,5999
386,2020-06,아시아,싱가포르,5303
387,2020-07,아시아,싱가포르,6953
388,2020-08,아시아,싱가포르,6883
389,2020-09,아시아,싱가포르,6498
390,2020-10,아시아,싱가포르,6754
391,2020-11,아시아,싱가포르,7294
392,2020-12,아시아,싱가포르,7853
393,2021-01,아시아,싱가포르,8140
394,2021-02,아시아,싱가포르,7173
395,2021-03,아시아,싱가포르,8301
396,2021-04,아시아,싱가포르,8554
397,2021-05,아시아,싱가포르,8233
398,2021-06,아시아,싱가포르,8778
399,2021-07,아시아,싱가포르,8077
400,2021-08,아시아,싱가포르,6664
401,2021-09,아시아,싱가포르,7568
402,2021-10,아시아,싱가포르,8241
403,2021-11,아시아,싱가포르,8230
404,2021-12,아시아,싱가포르,7468
405,2022-01,아시아,싱가포르,7797
406,2022-02,아시아,싱가포르,6754
407,2022-03,아시아,싱가포르,7920
408,2018-01,아시아,말레이시아,7541
409,2018-02,아시아,말레이시아,6381
410,2018-03,아시아,말레이시아,7608
411,2018-04,아시아,말레이시아,6988
412,2018-05,아시아,말레이시아,6672
413,2018-06,아시아,말레이시아,6598
414,2018-07,아시아,말레이시아,6817
415,2018-08,아시아,말레이시아,7414
416,2018-09,아시아,말레이시아,6898
417,2018-10,아시아,말레이시아,7422
418,2018-11,아시아,말레이시아,7517
419,2018-12,아시아,말레이시아,7752
420,2019-01,아시아,말레이시아,7268
421,2019-02,아시아,말레이시아,6460
422,2019-03,아시아,말레이시아,7462
423,2019-04,아시아,말레이시아,6737
424,2019-05,아시아,말레이시아,6259
425,2019-06,아시아,말레이시아,6149
426,2019-07,아시아,말레이시아,6771
427,2019-08,아시아,말레이시아,7313
428,2019-09,아시아,말레이시아,6493
429,2019-10,아시아,말레이시아,6908
430,2019-11,아시아,말레이시아,7314
431,2019-12,아시아,말레이시아,7824
432,2020-01,아시아,말레이시아,7442
433,2020-02,아시아,말레이시아,7496
434,2020-03,아시아,말레이시아,4711
435,2020-04,아시아,말레이시아,4014
436,2020-05,아시아,말레이시아,4000
437,2020-06,아시아,말레이시아,4207
438,2020-07,아시아,말레이시아,5373
439,2020-08,아시아,말레이시아,4709
440,2020-09,아시아,말레이시아,4668
441,2020-10,아시아,말레이시아,5313
442,2020-11,아시아,말레이시아,5016
443,2020-12,아시아,말레이시아,5517
444,2021-01,아시아,말레이시아,6129
445,2021-02,아시아,말레이시아,5600
446,2021-03,아시아,말레이시아,6500
447,2021-04,아시아,말레이시아,6326
448,2021-05,아시아,말레이시아,6078
449,2021-06,아시아,말레이시아,6337
450,2021-07,아시아,말레이시아,5903
451,2021-08,아시아,말레이시아,6126
452,2021-09,아시아,말레이시아,6815
453,2021-10,아시아,말레이시아,7248
454,2021-11,아시아,말레이시아,6232
455,2021-12,아시아,말레이시아,6354
456,2022-01,아시아,말레이시아,5438
457,2022-02,아시아,말레이시아,5419
458,2022-03,아시아,말레이시아,6465
459,2018-01,아시아,일본,45067
460,2018-02,아시아,일본,44147
461,2018-03,아시아,일본,50123
462,2018-04,아시아,일본,46022
463,2018-05,아시아,일본,43042
464,2018-06,아시아,일본,43273
465,2018-07,아시아,일본,42816
466,2018-08,아시아,일본,43946
467,2018-09,아시아,일본,42776
468,2018-10,아시아,일본,46869
469,2018-11,아시아,일본,45832
470,2018-12,아시아,일본,45913
471,2019-01,아시아,일본,42544
472,2019-02,아시아,일본,39547
473,2019-03,아시아,일본,44840
474,2019-04,아시아,일본,40587
475,2019-05,아시아,일본,37776
476,2019-06,아시아,일본,38046
477,2019-07,아시아,일본,37671
478,2019-08,아시아,일본,35607
479,2019-09,아시아,일본,31352
480,2019-10,아시아,일본,32236
481,2019-11,아시아,일본,32764
482,2019-12,아시아,일본,33626
483,2020-01,아시아,일본,30786
484,2020-02,아시아,일본,29626
485,2020-03,아시아,일본,22728
486,2020-04,아시아,일본,23090
487,2020-05,아시아,일본,18679
488,2020-06,아시아,일본,18881
489,2020-07,아시아,일본,20282
490,2020-08,아시아,일본,20154
491,2020-09,아시아,일본,22398
492,2020-10,아시아,일본,24646
493,2020-11,아시아,일본,25157
494,2020-12,아시아,일본,27143
495,2021-01,아시아,일본,25473
496,2021-02,아시아,일본,26069
497,2021-03,아시아,일본,29710
498,2021-04,아시아,일본,28489
499,2021-05,아시아,일본,25016
500,2021-06,아시아,일본,26447
501,2021-07,아시아,일본,26708
502,2021-08,아시아,일본,25228
503,2021-09,아시아,일본,28038
504,2021-10,아시아,일본,26400
505,2021-11,아시아,일본,24975
506,2021-12,아시아,일본,26157
507,2022-01,아시아,일본,21677
508,2022-02,아시아,일본,23682
509,2022-03,아시아,일본,28276
510,2018-01,아시아,홍콩,24325
511,2018-02,아시아,홍콩,19599
512,2018-03,아시아,홍콩,24852
513,2018-04,아시아,홍콩,24472
514,2018-05,아시아,홍콩,25089
515,2018-06,아시아,홍콩,24174
516,2018-07,아시아,홍콩,24676
517,2018-08,아시아,홍콩,26162
518,2018-09,아시아,홍콩,25644
519,2018-10,아시아,홍콩,26236
520,2018-11,아시아,홍콩,26343
521,2018-12,아시아,홍콩,25789
522,2019-01,아시아,홍콩,23529
523,2019-02,아시아,홍콩,17941
524,2019-03,아시아,홍콩,24633
525,2019-04,아시아,홍콩,23726
526,2019-05,아시아,홍콩,23564
527,2019-06,아시아,홍콩,22698
528,2019-07,아시아,홍콩,22998
529,2019-08,아시아,홍콩,22960
530,2019-09,아시아,홍콩,22394
531,2019-10,아시아,홍콩,24474
532,2019-11,아시아,홍콩,24749
533,2019-12,아시아,홍콩,25347
534,2020-01,아시아,홍콩,21333
535,2020-02,아시아,홍콩,17792
536,2020-03,아시아,홍콩,20307
537,2020-04,아시아,홍콩,18915
538,2020-05,아시아,홍콩,18753
539,2020-06,아시아,홍콩,17643
540,2020-07,아시아,홍콩,21565
541,2020-08,아시아,홍콩,22218
542,2020-09,아시아,홍콩,23166
543,2020-10,아시아,홍콩,22031
544,2020-11,아시아,홍콩,23317
545,2020-12,아시아,홍콩,24450
546,2021-01,아시아,홍콩,23069
547,2021-02,아시아,홍콩,17041
548,2021-03,아시아,홍콩,21115
549,2021-04,아시아,홍콩,20255
550,2021-05,아시아,홍콩,20482
551,2021-06,아시아,홍콩,20735
552,2021-07,아시아,홍콩,21479
553,2021-08,아시아,홍콩,21012
554,2021-09,아시아,홍콩,22705
555,2021-10,아시아,홍콩,22108
556,2021-11,아시아,홍콩,22802
557,2021-12,아시아,홍콩,23061
558,2022-01,아시아,홍콩,22739
559,2022-02,아시아,홍콩,16623
560,2022-03,아시아,홍콩,20440
